Journey_ID,Customer_ID,Campaign_ID,Journey_Date,Journey_Stage,Device,Pages_Visited,Session_Duration,Bounce,Converted
53,53,159,2024-07-28,Purchase,iPhone,17,58,No,Yes
54,54,504,2023-11-01,Purchase,Tablet,13,675,Yes,Yes
55,55,791,2024-07-27,Interest,Tablet,9,81,No,No
56,56,649,2023-05-05,Awareness,Tablet,12,114,Yes,No
57,57,220,2023-04-01,Retention,Android,4,262,Yes,No
58,58,905,2023-03-26,Interest,Desktop,5,289,Yes,No
59,59,934,2023-11-15,Retention,Desktop,18,202,Yes,No
60,60,440,2024-04-18,Retention,Desktop,17,630,No,No
61,61,882,2025-03-14,Awareness,Desktop,11,385,Yes,No
62,62,609,2023-10-19,Interest,Android,13,29,No,No
63,63,455,2024-02-18,Interest,Desktop,17,384,Yes,No
64,64,228,2023-08-20,Consideration,Laptop,14,304,No,No
65,65,84,2025-03-09,Interest,Android,14,753,No,Yes
66,66,795,2024-11-17,Retention,Laptop,19,374,No,Yes
67,67,550,2024-12-16,Purchase,Desktop,15,410,No,Yes
68,68,292,2023-09-23,Retention,Android,14,301,No,No
69,69,624,2024-08-07,Retention,iPhone,4,888,Yes,Yes
70,70,463,2024-01-26,Purchase,Laptop,15,765,No,No
71,71,562,2023-05-14,Purchase,Laptop,18,802,Yes,Yes
72,72,115,2024-02-13,Interest,Desktop,13,810,Yes,Yes
73,73,939,2025-10-25,Purchase,Laptop,2,252,Yes,Yes
74,74,643,2023-05-09,Interest,Android,2,389,Yes,No
75,75,470,2023-03-03,Purchase,iPhone,20,67,Yes,No
76,76,941,2025-05-25,Purchase,Android,11,435,Yes,No
77,77,489,2024-07-09,Purchase,Laptop,6,263,No,No
78,78,835,2025-05-02,Consideration,iPhone,9,425,No,No
79,79,642,2023-03-28,Consideration,iPhone,17,663,No,Yes
80,80,342,2023-06-07,Interest,Tablet,8,44,Yes,No
81,81,666,2024-05-15,Awareness,Desktop,5,331,Yes,No
82,82,207,2025-10-11,Awareness,Desktop,20,259,No,Yes
83,83,908,2023-07-06,Interest,Android,14,463,Yes,No
84,84,130,2025-05-11,Awareness,iPhone,1,587,Yes,Yes
85,85,758,2024-12-24,Purchase,Tablet,19,504,Yes,Yes
86,86,722,2024-11-17,Purchase,iPhone,16,400,Yes,No
87,87,184,2025-12-03,Purchase,Desktop,5,506,Yes,No
88,88,117,2023-03-07,Interest,Android,20,627,No,No
89,89,199,2023-01-12,Retention,Desktop,3,437,No,No
90,90,513,2023-11-26,Interest,iPhone,6,611,Yes,Yes
91,91,462,2025-01-02,Consideration,iPhone,7,114,No,No
92,92,61,2023-12-08,Purchase,Laptop,11,413,Yes,Yes
93,93,502,2024-10-27,Purchase,iPhone,2,123,No,Yes
94,94,222,2025-09-20,Purchase,Tablet,17,470,No,Yes
95,95,679,2025-06-17,Awareness,Desktop,17,879,Yes,Yes
96,96,539,2024-02-10,Retention,iPhone,4,259,Yes,No
97,97,976,2025-08-05,Awareness,Android,10,334,No,Yes
98,98,369,2025-10-29,Interest,iPhone,19,92,Yes,No
99,99,778,2023-07-22,Interest,Laptop,18,99,No,Yes
100,100,23,2025-09-27,Purchase,Laptop,9,612,No,No
101,101,432,2024-02-29,Awareness,Desktop,15,893,Yes,No
102,102,456,2025-05-13,Consideration,Desktop,13,100,No,No
103,103,315,2023-12-12,Retention,Desktop,9,662,No,Yes
104,104,597,2025-11-02,Purchase,Desktop,4,649,Yes,No
105,105,155,2024-09-26,Retention,Laptop,17,569,Yes,No
106,106,689,2023-05-03,Consideration,Android,19,97,No,No
107,107,642,2023-08-07,Awareness,Tablet,12,628,No,Yes
108,108,761,2025-02-25,Awareness,Android,10,820,Yes,Yes
109,109,68,2025-11-10,Retention,Desktop,13,330,No,Yes
110,110,48,2025-06-10,Interest,Android,2,310,No,Yes
111,111,9,2023-05-04,Consideration,Tablet,2,840,Yes,Yes
112,112,886,2024-07-11,Awareness,Android,14,838,Yes,No
113,113,592,2023-07-21,Purchase,iPhone,3,682,Yes,Yes
114,114,647,2023-03-19,Interest,Desktop,19,530,No,No
115,115,761,2023-04-12,Awareness,Laptop,1,552,Yes,No
116,116,10,2024-01-19,Retention,Android,13,556,No,Yes
117,117,762,2025-12-02,Purchase,iPhone,17,701,No,Yes
118,118,196,2025-06-18,Interest,Desktop,14,120,Yes,No
119,119,496,2024-07-21,Awareness,Tablet,11,847,Yes,Yes
120,120,695,2025-01-08,Awareness,Android,8,328,Yes,Yes
121,121,791,2024-08-11,Interest,Laptop,1,880,No,No
122,122,151,2023-12-11,Purchase,Desktop,20,830,Yes,No
123,123,374,2024-12-01,Awareness,Laptop,18,756,No,No
124,124,941,2025-03-30,Retention,Desktop,15,629,No,No
125,125,280,2025-08-09,Awareness,Tablet,10,855,Yes,No
126,126,938,2025-04-08,Interest,Android,4,826,Yes,Yes
127,127,264,2025-05-09,Consideration,Desktop,1,841,Yes,Yes
128,128,68,2023-11-19,Consideration,Tablet,2,480,Yes,No
129,129,318,2025-06-29,Interest,Tablet,8,34,No,No
130,130,108,2024-10-17,Awareness,Desktop,4,869,Yes,No
131,131,382,2023-12-21,Purchase,Laptop,9,359,Yes,No
132,132,801,2024-06-30,Purchase,Laptop,6,263,Yes,No
133,133,172,2025-07-22,Consideration,iPhone,3,94,No,No
134,134,511,2024-10-27,Purchase,iPhone,12,240,No,No
135,135,663,2024-06-19,Retention,Tablet,15,486,Yes,Yes
136,136,45,2025-11-23,Retention,iPhone,5,889,Yes,Yes
137,137,198,2023-12-18,Purchase,Desktop,9,45,Yes,No
138,138,364,2023-04-14,Purchase,Tablet,19,386,Yes,No
139,139,947,2025-03-27,Awareness,Laptop,5,500,No,No
140,140,370,2025-04-06,Consideration,iPhone,19,640,Yes,Yes
141,141,572,2025-07-24,Consideration,Tablet,11,281,No,No
142,142,962,2025-05-09,Purchase,Laptop,4,717,No,Yes
143,143,968,2025-05-20,Interest,Laptop,1,151,Yes,Yes
144,144,177,2024-03-18,Interest,Android,19,535,Yes,Yes
145,145,39,2023-03-13,Awareness,Android,2,411,No,Yes
146,146,455,2024-07-06,Purchase,Android,5,886,No,Yes
147,147,690,2023-03-02,Awareness,Tablet,7,318,No,Yes
148,148,43,2023-09-12,Purchase,Tablet,8,187,Yes,Yes
149,149,548,2025-11-27,Retention,Tablet,18,656,Yes,Yes
150,150,656,2024-07-12,Consideration,Android,20,109,Yes,Yes
151,151,853,2024-11-12,Consideration,Android,1,168,No,No
152,152,507,2025-02-23,Retention,Tablet,10,411,Yes,No
153,153,883,2024-10-12,Retention,Laptop,12,822,No,No
154,154,785,2024-02-10,Retention,Android,18,533,Yes,No
155,155,46,2023-03-19,Awareness,Laptop,1,137,Yes,No
156,156,386,2025-07-21,Interest,Desktop,16,531,No,Yes
157,157,198,2023-02-13,Interest,iPhone,3,525,Yes,Yes
158,158,364,2024-06-06,Retention,Desktop,11,233,No,No
159,159,942,2023-10-10,Consideration,Desktop,19,610,No,No
160,160,809,2023-09-28,Retention,Laptop,10,317,Yes,Yes
161,161,750,2025-04-02,Consideration,Tablet,4,481,Yes,No
162,162,677,2025-09-20,Retention,Desktop,8,870,No,Yes
163,163,733,2024-03-13,Consideration,iPhone,19,333,No,No
164,164,612,2023-07-08,Purchase,Laptop,9,99,Yes,No
165,165,183,2025-09-17,Retention,Desktop,13,375,Yes,Yes
166,166,349,2025-12-07,Purchase,Laptop,14,874,No,Yes
167,167,68,2024-05-11,Consideration,iPhone,14,21,Yes,No
168,168,342,2025-02-28,Awareness,Laptop,16,329,Yes,No
169,169,496,2023-07-27,Interest,Desktop,1,791,No,Yes
170,170,534,2025-10-21,Purchase,Laptop,18,161,No,Yes
171,171,455,2023-05-16,Purchase,Tablet,10,740,No,No
172,172,311,2023-05-04,Retention,Android,8,146,No,No
173,173,286,2023-11-02,Awareness,Laptop,7,248,Yes,Yes
174,174,192,2023-12-11,Awareness,Desktop,18,120,Yes,No
175,175,534,2023-01-29,Retention,iPhone,17,748,No,Yes
176,176,496,2024-03-06,Interest,iPhone,6,398,No,Yes
177,177,233,2024-07-31,Consideration,Android,2,558,Yes,No
178,178,562,2025-03-15,Awareness,iPhone,11,498,No,No
179,179,750,2024-06-11,Consideration,Tablet,10,555,Yes,No
180,180,174,2023-06-16,Retention,iPhone,20,758,No,No
181,181,564,2025-05-29,Purchase,Laptop,2,618,No,No
182,182,174,2023-07-03,Consideration,Desktop,5,807,Yes,Yes
183,183,261,2023-08-25,Interest,Android,7,627,Yes,Yes
184,184,780,2025-07-06,Awareness,Tablet,3,760,Yes,Yes
185,185,914,2024-05-07,Purchase,Tablet,3,120,Yes,Yes
186,186,877,2024-11-26,Interest,Laptop,7,211,Yes,No
187,187,227,2025-12-13,Interest,Android,18,728,Yes,Yes
188,188,540,2024-04-08,Retention,iPhone,20,176,Yes,Yes
189,189,998,2023-02-26,Retention,iPhone,16,452,Yes,Yes
190,190,595,2023-08-18,Retention,Android,11,210,No,Yes
191,191,65,2025-10-07,Awareness,Laptop,14,147,Yes,No
192,192,745,2025-08-09,Interest,Laptop,19,867,Yes,Yes
193,193,54,2024-02-27,Consideration,Android,15,564,Yes,Yes
194,194,786,2023-04-11,Interest,Desktop,10,829,Yes,Yes
195,195,436,2024-03-08,Consideration,Desktop,9,213,Yes,Yes
196,196,616,2025-11-22,Retention,Android,4,179,Yes,Yes
197,197,827,2023-07-21,Interest,Desktop,8,174,No,No
198,198,85,2024-01-09,Awareness,Android,1,829,Yes,No
199,199,995,2025-06-14,Retention,Laptop,3,711,Yes,No
200,200,362,2024-11-11,Retention,iPhone,20,817,No,Yes
201,201,23,2023-10-05,Consideration,Android,20,301,Yes,No
202,202,482,2024-01-21,Awareness,Android,15,886,No,Yes
203,203,55,2025-10-24,Purchase,Android,5,345,No,No
204,204,816,2023-08-22,Retention,iPhone,5,668,No,Yes
205,205,215,2024-09-21,Retention,Laptop,2,197,Yes,No
206,206,488,2023-10-14,Awareness,Desktop,20,734,Yes,Yes
207,207,604,2023-06-18,Retention,Laptop,2,665,Yes,No
208,208,61,2023-02-20,Awareness,Android,7,254,Yes,Yes
209,209,4,2025-02-20,Interest,iPhone,20,510,No,Yes
210,210,750,2023-01-26,Purchase,Tablet,9,445,Yes,Yes
211,211,63,2025-02-19,Consideration,iPhone,4,629,Yes,Yes
212,212,111,2025-10-10,Retention,Laptop,17,843,No,Yes
213,213,983,2023-09-18,Purchase,Tablet,2,184,No,Yes
214,214,228,2023-08-20,Consideration,iPhone,16,212,No,Yes
215,215,571,2025-06-29,Interest,Android,14,372,Yes,No
216,216,250,2024-04-17,Consideration,Laptop,14,297,No,No
217,217,694,2025-07-03,Retention,Laptop,17,327,No,No
218,218,550,2025-12-10,Retention,iPhone,3,887,Yes,Yes
219,219,529,2023-11-15,Interest,iPhone,2,596,No,No
220,220,68,2025-08-18,Interest,Desktop,13,299,Yes,Yes
221,221,444,2024-12-21,Purchase,Laptop,20,626,No,No
222,222,547,2024-01-18,Retention,Tablet,12,656,Yes,No
223,223,673,2024-04-29,Awareness,Android,14,59,No,Yes
224,224,319,2025-10-05,Interest,Laptop,17,807,Yes,Yes
225,225,568,2023-06-12,Retention,Laptop,12,128,Yes,No
226,226,301,2023-12-27,Retention,Desktop,15,272,Yes,No
227,227,848,2024-07-03,Awareness,Laptop,14,370,Yes,Yes
228,228,104,2025-11-23,Purchase,Laptop,3,161,No,Yes
229,229,725,2024-09-18,Purchase,Desktop,2,724,Yes,Yes
230,230,843,2023-06-12,Consideration,Tablet,10,429,Yes,Yes
231,231,503,2024-03-18,Purchase,iPhone,6,870,No,No
232,232,831,2023-09-12,Purchase,iPhone,19,384,No,No
233,233,901,2025-07-15,Awareness,Laptop,2,527,Yes,Yes
234,234,958,2025-08-09,Awareness,Android,14,396,No,No
235,235,329,2025-05-07,Purchase,iPhone,10,119,Yes,Yes
236,236,802,2024-09-03,Awareness,Tablet,12,537,Yes,No
237,237,10,2023-08-27,Consideration,iPhone,9,672,No,No
238,238,294,2023-09-15,Awareness,iPhone,14,286,No,Yes
239,239,220,2024-09-04,Interest,iPhone,1,76,No,Yes
240,240,843,2025-07-13,Retention,iPhone,11,45,No,No
241,241,342,2025-03-30,Purchase,iPhone,13,811,Yes,Yes
242,242,497,2025-01-30,Purchase,Tablet,16,735,Yes,Yes
243,243,102,2024-06-26,Retention,Tablet,6,261,Yes,Yes
244,244,792,2025-06-21,Awareness,Android,10,29,No,Yes
245,245,247,2023-03-31,Interest,Android,14,570,No,Yes
246,246,895,2023-01-31,Awareness,Android,14,702,Yes,No
247,247,918,2025-06-04,Retention,Android,3,256,Yes,Yes
248,248,508,2025-11-24,Consideration,Android,15,544,No,Yes
249,249,928,2024-04-25,Interest,iPhone,3,584,Yes,No
250,250,261,2025-08-21,Purchase,Tablet,13,434,Yes,Yes
251,251,659,2023-12-13,Retention,Laptop,13,814,No,Yes
252,252,950,2025-05-02,Retention,Tablet,18,639,Yes,Yes
253,253,468,2024-12-09,Awareness,Desktop,14,286,Yes,Yes
254,254,364,2023-11-21,Consideration,Android,13,838,No,Yes
255,255,720,2024-08-02,Consideration,Laptop,1,504,No,No
256,256,24,2023-05-20,Retention,Tablet,19,714,No,No
257,257,217,2025-06-02,Purchase,Laptop,7,274,Yes,No
258,258,516,2023-07-14,Retention,Laptop,3,523,Yes,Yes
259,259,51,2023-06-15,Retention,iPhone,6,98,No,No
260,260,455,2024-08-12,Consideration,iPhone,19,569,Yes,Yes
261,261,989,2024-01-29,Purchase,iPhone,14,520,No,Yes
262,262,766,2025-10-29,Purchase,Tablet,14,705,Yes,No
263,263,931,2025-02-08,Purchase,Laptop,6,718,Yes,Yes
264,264,901,2024-11-21,Awareness,Laptop,13,655,Yes,Yes
265,265,477,2024-07-11,Retention,iPhone,18,200,No,Yes
266,266,966,2024-06-25,Interest,Android,12,37,Yes,Yes
267,267,415,2024-05-20,Retention,Desktop,15,436,Yes,No
268,268,510,2025-09-22,Consideration,Desktop,6,679,No,Yes
269,269,121,2023-01-18,Interest,Desktop,18,138,No,No
270,270,121,2025-06-11,Purchase,Tablet,17,22,Yes,Yes
271,271,964,2023-06-09,Purchase,Desktop,7,704,Yes,Yes
272,272,202,2024-08-16,Consideration,Android,10,526,No,No
273,273,819,2023-07-15,Retention,Desktop,5,756,No,Yes
274,274,717,2025-02-25,Awareness,Laptop,6,241,No,No
275,275,864,2024-09-23,Purchase,iPhone,20,620,No,Yes
276,276,151,2025-11-14,Interest,Android,11,552,Yes,No
277,277,344,2025-08-27,Purchase,iPhone,11,160,Yes,No
278,278,168,2023-05-10,Interest,Android,10,614,No,Yes
279,279,12,2025-09-23,Consideration,iPhone,12,700,No,No
280,280,549,2024-09-09,Consideration,Laptop,15,193,No,No
281,281,737,2024-05-26,Retention,iPhone,7,333,No,Yes
282,282,40,2024-07-28,Awareness,iPhone,18,461,Yes,Yes
283,283,249,2023-04-26,Interest,iPhone,7,855,Yes,Yes
284,284,409,2024-04-20,Awareness,Android,13,280,Yes,No
285,285,468,2023-08-17,Retention,Android,11,846,No,No
286,286,600,2025-07-02,Purchase,Desktop,2,476,Yes,No
287,287,268,2024-05-30,Retention,Android,6,339,No,No
288,288,642,2023-04-11,Retention,Tablet,10,502,Yes,Yes
289,289,751,2024-05-03,Consideration,Android,13,408,Yes,No
290,290,960,2023-04-06,Consideration,Laptop,2,265,No,No
291,291,917,2024-05-07,Purchase,Tablet,9,640,No,No
292,292,457,2025-10-06,Awareness,Laptop,15,99,No,No
293,293,394,2025-03-10,Interest,Desktop,9,105,Yes,No
294,294,517,2023-03-24,Retention,Android,1,539,Yes,Yes
295,295,793,2024-10-03,Purchase,Android,15,233,No,Yes
296,296,886,2024-09-26,Interest,iPhone,18,435,Yes,No
297,297,775,2024-11-05,Purchase,Android,8,276,Yes,Yes
298,298,159,2025-10-28,Awareness,iPhone,19,850,No,No
299,299,634,2024-12-20,Purchase,Desktop,13,636,Yes,No
300,300,756,2023-05-18,Interest,Laptop,6,578,No,Yes
301,301,977,2024-05-31,Consideration,Android,14,772,Yes,No
302,302,482,2023-01-27,Interest,Tablet,11,66,Yes,No
303,303,602,2023-12-13,Interest,Android,7,246,Yes,No
304,304,147,2025-08-10,Consideration,Tablet,12,886,No,Yes
305,305,30,2024-10-12,Interest,Laptop,4,227,Yes,Yes
306,306,55,2025-09-13,Consideration,Laptop,8,511,Yes,Yes
307,307,187,2025-03-08,Purchase,Desktop,18,775,No,Yes
308,308,741,2024-12-25,Retention,Laptop,16,865,Yes,No
309,309,908,2023-05-23,Retention,Laptop,17,610,Yes,Yes
310,310,494,2023-06-27,Retention,iPhone,18,828,No,Yes
311,311,638,2024-04-20,Awareness,Android,12,613,Yes,Yes
312,312,320,2023-04-01,Purchase,Laptop,13,440,Yes,Yes
313,313,365,2024-10-22,Interest,Desktop,11,843,No,No
314,314,807,2025-09-26,Consideration,Laptop,18,282,Yes,Yes
315,315,775,2025-04-15,Retention,iPhone,1,465,Yes,No
316,316,874,2023-04-03,Retention,Tablet,3,93,No,Yes
317,317,491,2024-01-15,Purchase,Desktop,17,838,Yes,Yes
318,318,803,2025-08-17,Interest,Tablet,13,367,Yes,Yes
319,319,140,2024-10-14,Awareness,Laptop,3,843,Yes,No
320,320,571,2025-06-23,Purchase,Laptop,1,153,No,Yes
321,321,228,2024-07-24,Retention,Tablet,13,422,No,Yes
322,322,564,2023-07-15,Interest,Laptop,14,181,Yes,Yes
323,323,388,2024-03-17,Purchase,Tablet,4,210,No,Yes
324,324,737,2023-06-16,Consideration,Laptop,9,181,No,No
325,325,380,2025-04-19,Interest,Tablet,1,879,No,Yes
326,326,575,2024-03-27,Purchase,iPhone,8,554,Yes,Yes
327,327,362,2025-02-02,Retention,Laptop,18,70,Yes,Yes
328,328,833,2023-01-13,Consideration,Laptop,9,502,Yes,Yes
329,329,964,2024-06-04,Retention,Tablet,9,863,No,Yes
330,330,1000,2024-09-24,Retention,Tablet,1,319,No,Yes
331,331,579,2023-01-26,Retention,Desktop,14,79,No,No
332,332,1,2024-01-26,Consideration,iPhone,11,811,No,Yes
333,333,139,2024-03-01,Interest,Desktop,5,252,No,Yes
334,334,900,2025-06-19,Retention,Desktop,18,88,No,No
335,335,622,2025-03-26,Retention,Laptop,6,627,No,Yes
336,336,694,2023-03-21,Consideration,Android,6,230,Yes,Yes
337,337,146,2024-04-17,Purchase,Laptop,9,205,No,Yes
338,338,42,2023-08-04,Purchase,Laptop,6,443,No,No
339,339,669,2024-07-30,Retention,Android,5,94,Yes,No
340,340,679,2025-01-28,Consideration,Desktop,18,501,Yes,Yes
341,341,173,2023-05-31,Awareness,Desktop,6,21,Yes,Yes
342,342,943,2023-08-15,Consideration,Tablet,17,623,Yes,Yes
343,343,25,2024-09-28,Interest,Desktop,3,679,No,No
344,344,82,2023-09-09,Purchase,Laptop,6,354,No,Yes
345,345,759,2023-09-09,Retention,iPhone,19,770,Yes,No
346,346,404,2023-01-23,Interest,Laptop,18,432,No,No
347,347,580,2024-01-18,Purchase,Desktop,18,265,No,No
348,348,232,2024-08-01,Retention,Android,14,617,No,No
349,349,925,2023-01-13,Retention,iPhone,5,521,Yes,Yes
350,350,460,2023-06-11,Retention,Laptop,17,602,Yes,Yes
351,351,925,2024-05-24,Purchase,iPhone,2,852,No,Yes
352,352,183,2023-04-09,Awareness,Tablet,13,764,No,No
353,353,587,2025-12-12,Consideration,Desktop,13,435,No,Yes
354,354,428,2024-02-07,Interest,Desktop,16,294,Yes,Yes
355,355,205,2023-10-13,Consideration,Android,4,870,No,Yes
356,356,379,2023-04-02,Retention,Laptop,18,385,No,No
357,357,585,2025-05-28,Purchase,Tablet,14,525,No,No
358,358,618,2025-04-02,Consideration,iPhone,2,800,Yes,Yes
359,359,946,2024-07-05,Consideration,iPhone,12,862,No,No
360,360,668,2023-05-01,Retention,Android,4,704,Yes,Yes
361,361,348,2024-07-09,Purchase,Tablet,16,395,Yes,No
362,362,697,2024-05-19,Awareness,iPhone,10,314,Yes,No
363,363,892,2024-03-26,Retention,Desktop,12,449,No,Yes
364,364,531,2023-01-30,Retention,Tablet,7,297,Yes,Yes
365,365,385,2025-01-01,Consideration,Desktop,13,134,No,No
366,366,403,2025-02-22,Interest,Tablet,13,46,No,No
367,367,539,2023-08-05,Purchase,Desktop,15,311,Yes,Yes
368,368,824,2025-12-28,Consideration,Tablet,11,391,Yes,Yes
369,369,853,2025-03-19,Interest,Tablet,4,847,No,Yes
370,370,50,2023-12-06,Consideration,Tablet,12,512,No,No
371,371,884,2024-06-03,Awareness,Desktop,1,792,No,No
372,372,907,2024-09-28,Purchase,iPhone,9,700,No,Yes
373,373,738,2023-03-07,Consideration,Laptop,11,411,Yes,No
374,374,593,2025-11-26,Consideration,iPhone,19,841,Yes,Yes
375,375,569,2023-12-16,Consideration,iPhone,11,745,Yes,Yes
376,376,837,2025-12-19,Retention,Laptop,8,407,Yes,Yes
377,377,200,2023-09-13,Awareness,Laptop,17,354,No,Yes
378,378,530,2024-12-07,Interest,Laptop,6,460,Yes,Yes
379,379,670,2023-12-02,Consideration,Desktop,7,513,No,Yes
380,380,621,2025-03-20,Purchase,Laptop,8,745,Yes,No
381,381,650,2024-10-30,Purchase,Laptop,8,800,No,No
382,382,91,2025-12-31,Interest,Laptop,20,115,No,No
383,383,900,2024-07-07,Purchase,iPhone,1,522,Yes,Yes
384,384,22,2024-02-27,Consideration,iPhone,16,512,Yes,No
385,385,590,2024-06-28,Interest,Desktop,16,338,No,No
386,386,625,2023-10-20,Purchase,Desktop,3,358,No,No
387,387,125,2023-11-13,Retention,Android,19,741,Yes,Yes
388,388,324,2025-09-14,Interest,Tablet,6,793,Yes,Yes
389,389,100,2025-07-21,Interest,iPhone,17,205,Yes,No
390,390,914,2025-04-23,Interest,iPhone,5,775,No,Yes
391,391,122,2023-12-14,Consideration,Android,11,25,No,Yes
392,392,568,2023-10-31,Retention,Android,17,713,No,Yes
393,393,253,2023-02-22,Consideration,Tablet,9,95,Yes,Yes
394,394,817,2025-07-05,Interest,Desktop,12,409,No,No
395,395,592,2024-01-13,Retention,Tablet,19,734,No,Yes
396,396,650,2023-02-12,Awareness,Desktop,3,300,Yes,No
397,397,881,2024-10-10,Retention,Android,3,850,No,Yes
398,398,874,2024-04-03,Consideration,iPhone,6,198,No,Yes
399,399,859,2025-05-23,Retention,Laptop,1,819,No,Yes
400,400,630,2024-04-08,Purchase,Android,12,637,Yes,No
401,401,91,2025-12-10,Consideration,Tablet,8,417,No,No
402,402,377,2025-03-05,Interest,Laptop,7,226,No,Yes
403,403,515,2023-05-28,Interest,Tablet,4,339,No,Yes
404,404,388,2025-04-18,Interest,Tablet,20,281,No,Yes
405,405,906,2025-03-25,Awareness,iPhone,11,578,Yes,Yes
406,406,54,2023-02-03,Awareness,Android,16,832,Yes,No
407,407,962,2023-03-06,Awareness,Android,9,607,Yes,Yes
408,408,890,2024-06-17,Retention,Android,16,773,No,No
409,409,358,2024-03-12,Awareness,Tablet,3,228,No,No
410,410,807,2023-12-16,Awareness,Laptop,10,49,Yes,No
411,411,99,2024-07-03,Purchase,Desktop,19,544,No,Yes
412,412,200,2025-05-20,Consideration,Laptop,19,189,Yes,Yes
413,413,191,2023-05-27,Consideration,Desktop,4,440,Yes,No
414,414,735,2024-01-17,Purchase,Android,9,798,No,Yes
415,415,936,2024-02-16,Retention,Desktop,5,127,No,No
416,416,970,2025-10-25,Purchase,iPhone,17,142,No,No
417,417,920,2023-10-29,Interest,Laptop,13,223,No,No
418,418,564,2025-04-21,Awareness,Android,8,503,Yes,Yes
419,419,94,2023-03-07,Interest,Laptop,6,216,No,No
420,420,650,2024-01-03,Interest,iPhone,14,870,No,No
421,421,707,2025-12-16,Consideration,Tablet,13,159,Yes,No
422,422,619,2024-06-11,Retention,Desktop,20,204,Yes,Yes
423,423,954,2024-10-06,Interest,iPhone,9,549,No,No
424,424,771,2024-02-18,Consideration,Tablet,4,857,Yes,Yes
425,425,855,2023-11-04,Purchase,Laptop,3,208,Yes,No
426,426,190,2023-10-09,Purchase,iPhone,3,838,Yes,No
427,427,977,2023-05-13,Awareness,Desktop,7,413,Yes,Yes
428,428,393,2024-01-26,Purchase,Tablet,7,865,Yes,Yes
429,429,848,2025-11-21,Awareness,Android,15,435,Yes,No
