Campaign_ID,Campaign_Type,Campaign_Objective,Product_ID,Marketing_Channel,Industry,Target_Audience,Funnel_Stage,Creative_Type,Device_Target,Region_Target,Bid_Strategy,Budget,Budget_Category,Campaign_Duration,Campaign_Status,AI_Campaign_Score,Success_Probability,Risk_Level,Priority,Expected_ROI,Estimated_Revenue,Expected_Conversions,Target_CPA,Target_ROAS,Audience_Size,Optimization_Score,Impressions,Clicks,Conversions,CTR,Spend,Revenue,CPC,CPM,Engagement_Rate,Bounce_Rate,Avg_Session_Duration,Campaign_Success
17,4,1,281,4,1,4,0,1,3,2,3,685697,1,70,2,80,75,2,2,87.28,1284173,1741,393.85,1.87,4375625,87,3884896,202014,19312,5.2,685697,1284173,3.39,176.5,9.33,59.59,452,0
18,3,3,148,6,4,2,2,0,3,0,3,102448,2,101,0,60,68,0,1,53.05,156796,1238,82.75,1.53,2050705,77,4270570,418515,12639,9.8,102448,156796,0.24,23.99,17.57,20.47,33,0
19,0,3,279,1,5,2,2,2,2,4,0,698376,1,62,0,93,99,1,0,96.01,1368886,1322,528.27,1.96,58862,71,1348679,153614,12918,11.39,698376,1368886,4.55,517.82,8.38,54.56,267,1
20,5,4,250,1,6,4,2,0,0,1,4,1436914,0,34,3,100,99,1,0,81.54,2608573,3319,432.94,1.82,774807,68,1229980,108607,9557,8.83,1436914,2608573,13.23,1168.24,12.27,20.11,56,0
21,4,1,279,2,5,0,0,3,1,1,0,1208752,0,38,1,85,77,1,2,85.24,2239092,3822,316.26,1.85,567382,98,1120474,110590,13160,9.87,1208752,2239092,10.93,1078.79,16.27,69.24,472,1
22,3,4,85,5,4,2,2,4,3,1,4,797982,1,43,1,91,91,1,0,99.54,1592293,132,6045.32,2.0,820664,60,4897190,332519,18022,6.79,797982,1592293,2.4,162.95,15.69,26.66,417,1
23,3,0,264,3,7,2,2,0,0,1,0,172985,2,15,3,88,94,1,2,124.89,389025,4303,40.2,2.25,533796,62,987901,33391,3699,3.38,172985,389025,5.18,175.1,13.67,69.93,178,1
24,1,3,2,3,7,4,2,1,3,1,1,66769,3,48,0,55,58,0,1,61.59,107892,2464,27.1,1.62,4334207,100,4472264,461984,7484,10.33,66769,107892,0.14,14.93,17.19,49.89,179,0
25,5,2,127,5,3,2,2,1,3,0,2,921936,1,30,3,85,88,1,2,97.21,1818149,4003,230.31,1.97,1055814,86,4883031,302747,12200,6.2,921936,1818149,3.05,188.8,12.55,55.47,422,1
26,0,4,122,6,7,2,2,0,0,2,2,145834,2,112,1,77,72,2,2,109.1,304938,684,213.21,2.09,3099059,94,2318107,36626,4179,1.58,145834,304938,3.98,62.91,5.93,32.54,427,1
27,5,0,285,2,6,4,2,3,1,4,3,1399454,0,67,1,95,92,1,0,108.9,2923459,3812,367.12,2.09,2720810,82,1339637,86808,9739,6.48,1399454,2923459,16.12,1044.65,16.49,21.82,298,1
28,2,0,235,1,2,5,1,2,0,3,2,811810,1,57,2,90,88,1,0,131.63,1880395,430,1887.93,2.32,2474721,98,907977,9261,1439,1.02,811810,1880395,87.66,894.09,8.6,48.92,245,1
29,4,2,287,4,4,2,0,0,1,3,2,477206,2,108,3,69,61,0,1,102.32,965483,4323,110.39,2.02,1257146,72,4148448,172990,25775,4.17,477206,965483,2.76,115.03,13.23,65.74,188,1
30,4,4,12,7,7,4,0,0,2,3,2,1126639,0,39,3,96,99,1,0,80.42,2032682,3827,294.39,1.8,4088356,76,3933904,137293,14553,3.49,1126639,2032682,8.21,286.39,7.15,22.88,168,1
31,1,4,115,7,5,3,2,0,1,2,3,677383,1,28,2,85,90,1,2,82.79,1238188,4939,137.15,1.83,4753362,61,2152607,173069,28089,8.04,677383,1238188,3.91,314.68,17.48,30.8,141,1
32,4,1,158,3,1,1,0,3,0,0,4,681004,1,53,2,81,75,2,2,89.59,1291115,4196,162.3,1.9,1005822,94,2816288,254310,22913,9.03,681004,1291115,2.68,241.81,14.33,28.34,174,0
33,2,4,249,0,0,5,1,3,0,1,0,800359,1,100,3,78,70,2,2,84.28,1474901,2376,336.85,1.84,3407140,89,2471656,24716,1715,1.0,800359,1474901,32.38,323.81,8.0,24.07,277,0
34,4,3,164,4,1,0,0,2,2,0,4,591632,1,83,2,84,91,2,2,94.97,1153504,2972,199.07,1.95,4092931,81,4223081,201863,20145,4.78,591632,1153504,2.93,140.09,4.29,61.76,304,1
35,0,1,88,5,2,3,2,0,3,4,1,294763,2,76,1,76,72,2,2,71.1,504339,4670,63.12,1.71,992584,69,1249884,87241,7354,6.98,294763,504339,3.38,235.83,8.94,47.64,88,0
36,2,3,116,3,4,0,1,4,1,3,2,1327347,0,111,2,100,94,1,0,80.32,2393472,1732,766.37,1.8,710894,60,820191,51261,8227,6.25,1327347,2393472,25.89,1618.34,8.5,63.36,159,1
37,5,1,270,0,0,3,2,2,3,3,2,778838,1,96,0,83,75,2,2,89.9,1479013,4677,166.53,1.9,1868089,77,4932712,479459,51685,9.72,778838,1479013,1.62,157.89,7.79,22.56,317,1
38,1,5,268,5,5,2,2,2,1,0,0,1350118,0,24,3,96,97,1,0,122.13,2999017,3682,366.68,2.22,787113,78,4919218,73296,1656,1.49,1350118,2999017,18.42,274.46,11.15,55.74,486,1
39,1,5,260,6,7,2,2,2,0,1,2,279493,2,41,2,74,79,2,2,77.71,496687,4447,62.85,1.78,3820160,91,4907902,404901,15548,8.25,279493,496687,0.69,56.95,12.96,35.28,184,0
40,5,2,203,5,0,0,2,2,2,4,0,73309,3,109,0,58,53,0,1,78.56,130900,394,186.06,1.79,1456780,88,932632,14269,1649,1.53,73309,130900,5.14,78.6,3.05,63.28,320,1
41,2,4,198,3,3,4,1,4,0,3,2,930546,1,39,2,83,84,2,2,97.38,1836711,952,977.46,1.97,1564441,64,697084,66222,2072,9.5,930546,1836711,14.05,1334.91,5.13,42.05,68,1
42,0,5,33,0,5,2,2,0,2,2,1,1290455,0,30,2,95,99,1,0,106.91,2670080,2673,482.77,2.07,4946259,80,2292119,168012,27117,7.33,1290455,2670080,7.68,563.0,17.38,42.91,107,1
43,0,1,155,0,2,1,2,0,2,3,1,1255902,0,60,0,90,95,1,0,99.77,2508915,3080,407.76,2.0,574831,61,2439395,124409,6568,5.1,1255902,2508915,10.09,514.84,9.23,20.52,120,1
44,5,4,88,0,6,0,2,3,2,3,2,569902,1,113,3,86,93,1,2,91.82,1093186,1826,312.1,1.92,1400097,87,3172225,30770,1015,0.97,569902,1093186,18.52,179.65,16.26,22.93,244,0
45,3,0,295,0,1,2,2,4,0,4,4,1021385,0,73,1,88,91,1,2,99.28,2035416,2437,419.12,1.99,4804333,92,1313996,78445,12362,5.97,1021385,2035416,13.02,777.31,5.87,34.29,304,1
46,5,5,120,1,5,1,2,4,0,0,0,561852,1,102,3,86,81,1,2,119.25,1231860,958,586.48,2.19,816132,61,85526,1137,31,1.33,561852,1231860,494.15,6569.37,14.8,64.98,381,1
47,1,1,142,7,7,3,2,3,1,2,0,214216,2,21,3,70,73,2,2,86.67,399877,2920,73.36,1.87,4542124,81,796266,22693,2811,2.85,214216,399877,9.44,269.03,5.65,46.1,306,1
48,5,3,125,2,0,3,2,4,1,2,1,81395,3,18,1,75,73,2,2,71.53,139616,1693,48.08,1.72,3352113,67,3218692,278416,5763,8.65,81395,139616,0.29,25.29,10.5,66.44,402,0
49,0,0,86,4,5,5,2,1,3,0,1,954245,1,69,2,80,76,2,2,111.23,2015651,3097,308.12,2.11,4750771,100,1091566,29581,5008,2.71,954245,2015651,32.26,874.2,11.66,46.86,129,1
50,4,4,55,3,7,2,0,1,1,1,3,203921,2,81,3,89,81,1,2,82.03,371197,3570,57.12,1.82,2279349,62,1389508,113661,8467,8.18,203921,371197,1.79,146.76,11.99,49.23,404,0
51,3,0,181,1,5,4,2,1,1,1,2,283785,2,57,2,79,81,2,2,68.61,478489,1724,164.61,1.69,2867112,93,4452103,305859,44838,6.87,283785,478489,0.93,63.74,4.6,20.41,333,1
52,2,4,264,6,1,5,1,3,0,3,4,503421,1,112,1,93,87,1,0,115.02,1082455,2078,242.26,2.15,4228719,100,2343858,33282,5375,1.42,503421,1082455,15.13,214.78,8.17,25.12,223,1
53,0,1,80,5,3,0,2,1,2,3,1,1258498,0,62,3,88,87,1,2,111.9,2666757,3792,331.88,2.12,1590065,85,3415860,257555,20913,7.54,1258498,2666757,4.89,368.43,12.44,44.32,385,1
54,3,0,275,6,3,5,2,3,0,3,4,1061601,0,18,3,95,99,1,0,89.62,2013007,2341,453.48,1.9,3167207,77,3442382,281931,38934,8.19,1061601,2013007,3.77,308.39,14.16,60.36,468,1
55,3,1,202,6,1,1,2,1,1,2,4,1308375,0,27,1,87,83,1,2,74.2,2279189,1984,659.46,1.74,1549813,75,4489763,367262,65850,8.18,1308375,2279189,3.56,291.41,4.71,22.5,395,1
56,5,2,168,3,5,5,2,2,2,0,1,1218532,0,79,0,100,99,1,0,123.79,2726952,4384,277.95,2.24,125504,71,4888356,161804,20516,3.31,1218532,2726952,7.53,249.27,14.12,32.64,131,1
57,5,5,27,7,6,1,2,2,2,0,4,464373,2,111,2,77,74,2,2,87.72,871720,3164,146.77,1.88,4077689,96,1462852,146577,21590,10.02,464373,871720,3.17,317.44,6.41,61.31,419,1
58,0,0,168,1,1,5,2,3,1,4,2,337937,2,79,2,75,76,2,2,96.42,663775,3754,90.02,1.96,3085731,81,4736622,373719,10501,7.89,337937,663775,0.9,71.35,11.52,60.9,119,1
59,1,5,277,5,7,4,2,2,2,3,4,1360747,0,22,2,91,87,1,0,101.88,2747076,2274,598.39,2.02,1965549,69,1741771,62007,9009,3.56,1360747,2747076,21.95,781.24,7.18,46.47,200,1
60,2,0,57,6,7,2,1,4,1,2,4,1327089,0,73,0,93,90,1,0,135.09,3119853,4764,278.57,2.35,4970455,85,1437503,143894,13223,10.01,1327089,3119853,9.22,923.19,7.03,25.14,250,1
61,5,0,114,5,0,4,2,0,3,3,2,329582,2,20,2,72,75,2,2,71.41,564936,2917,112.99,1.71,2795187,96,4358320,173896,7199,3.99,329582,564936,1.9,75.62,15.14,54.43,69,0
62,1,5,10,7,5,0,2,0,2,2,4,943261,1,94,1,80,76,2,2,88.4,1777103,2284,412.99,1.88,518690,74,1069347,49724,4415,4.65,943261,1777103,18.97,882.09,15.89,44.92,420,0
63,4,3,227,6,6,3,0,0,3,1,3,184156,2,117,2,87,89,1,2,94.67,358496,1446,127.36,1.95,1410526,72,1363781,105420,12639,7.73,184156,358496,1.75,135.03,3.0,63.27,466,1
64,0,3,47,6,4,2,2,0,0,2,0,937824,1,100,0,77,83,2,2,109.63,1965960,3916,239.49,2.1,4139626,78,1808694,63123,6792,3.49,937824,1965960,14.86,518.51,16.66,65.77,226,1
65,0,3,293,3,4,2,2,4,0,2,1,1401275,0,22,1,98,98,1,0,123.95,3138155,4083,343.2,2.24,563209,67,3201411,275001,8057,8.59,1401275,3138155,5.1,437.71,8.84,49.7,219,1
66,0,4,234,1,1,1,2,3,2,2,3,1065746,0,54,0,97,99,1,0,143.39,2593919,2288,465.8,2.43,4367707,62,3400143,145526,18903,4.28,1065746,2593919,7.32,313.44,10.75,62.89,398,1
67,4,4,263,6,5,5,0,3,1,0,4,696431,1,76,3,80,80,2,2,119.69,1529989,362,1923.84,2.2,607108,66,3764590,31999,4371,0.85,696431,1529989,21.76,185.0,11.7,54.74,310,1
68,4,0,162,6,7,0,0,3,2,3,4,72810,3,106,3,47,51,0,1,57.23,114479,2777,26.22,1.57,1785856,61,2644378,84355,13395,3.19,72810,114479,0.86,27.53,6.11,67.04,496,1
69,2,2,7,0,3,3,1,2,0,0,1,570453,1,15,0,91,88,1,0,81.36,1034573,526,1084.51,1.81,1881683,71,4665292,369024,28008,7.91,570453,1034573,1.55,122.28,12.19,22.08,221,0
70,2,3,109,5,6,1,1,4,0,1,1,303868,2,107,1,78,78,2,2,99.83,607219,3643,83.41,2.0,4218453,83,4468692,517027,26161,11.57,303868,607219,0.59,68.0,4.3,56.24,428,1
71,1,3,195,2,4,0,2,2,3,3,2,745920,1,20,2,89,90,1,2,92.65,1437014,2740,272.23,1.93,2149018,89,88684,2465,131,2.78,745920,1437014,302.6,8410.99,16.88,26.49,188,0
72,3,2,33,3,3,5,2,2,3,3,4,1467901,0,39,3,90,94,1,0,127.16,3334483,3676,399.32,2.27,1433805,93,1866935,53767,1446,2.88,1467901,3334483,27.3,786.26,15.47,30.6,123,1
73,2,4,33,2,0,1,1,3,3,4,3,868786,1,49,3,87,84,1,2,123.55,1942171,4305,201.81,2.24,2571997,65,515201,7109,413,1.38,868786,1942171,122.21,1686.3,17.77,26.24,88,1
74,4,0,43,4,4,1,0,4,2,3,1,240756,2,23,0,78,73,2,2,79.21,431458,4964,48.5,1.79,2066179,76,4928430,143417,19834,2.91,240756,431458,1.68,48.85,10.65,36.85,406,1
75,5,4,24,7,7,1,2,2,3,0,1,276831,2,49,3,83,90,2,2,100.46,554935,5000,55.37,2.0,2223704,60,1450207,63229,6291,4.36,276831,554935,4.38,190.89,3.51,59.67,487,1
76,4,0,30,6,6,1,0,4,1,3,0,870057,1,86,3,80,73,2,2,101.1,1749684,1408,617.94,2.01,1172415,71,2802659,63059,10347,2.25,870057,1749684,13.8,310.44,15.31,39.74,155,1
77,4,0,265,6,6,5,0,0,1,4,0,1461077,0,53,0,95,99,1,0,108.33,3043861,2099,696.08,2.08,2376652,76,120443,4058,389,3.37,1461077,3043861,360.05,12130.86,4.46,29.23,407,1
78,5,3,215,4,4,3,2,0,3,4,4,1042242,0,113,2,95,97,1,0,123.94,2333996,3517,296.34,2.24,291929,77,1566179,131245,16497,8.38,1042242,2333996,7.94,665.47,11.89,45.6,471,1
79,2,3,288,1,5,1,1,1,2,3,1,1364099,0,37,2,88,81,1,2,105.3,2800495,4546,300.07,2.05,395225,91,1033923,73511,12842,7.11,1364099,2800495,18.56,1319.34,16.86,38.51,246,1
80,0,0,10,3,5,1,2,3,1,0,0,61720,3,67,0,49,57,0,1,69.96,104899,2651,23.28,1.7,4732931,94,2984025,228277,8902,7.65,61720,104899,0.27,20.68,16.04,32.92,300,0
81,0,1,9,0,5,4,2,3,0,2,1,1006017,0,101,1,98,99,1,0,129.52,2309010,2107,477.46,2.3,1869567,69,3010372,178214,9035,5.92,1006017,2309010,5.64,334.18,16.56,47.06,333,1
82,4,0,98,2,5,0,0,0,0,2,1,831738,1,55,2,93,93,1,0,80.62,1502285,3814,218.07,1.81,2281727,80,3338132,96805,4046,2.9,831738,1502285,8.59,249.16,16.07,33.92,380,0
83,3,3,37,6,7,1,2,3,0,2,0,1130772,0,68,3,86,83,1,2,81.49,2052238,2831,399.42,1.81,548838,99,3161785,333252,48854,10.54,1130772,2052238,3.39,357.64,2.53,37.51,73,1
84,3,5,124,4,6,1,2,1,0,1,0,422540,2,43,3,76,75,2,2,75.43,741261,458,922.58,1.75,852327,86,1330112,97098,12962,7.3,422540,741261,4.35,317.67,2.03,25.09,107,1
85,0,3,112,7,0,0,2,3,0,3,4,526479,1,29,0,77,83,2,2,93.32,1017789,3130,168.2,1.93,4567897,73,4965320,442906,8990,8.92,526479,1017789,1.19,106.03,10.7,48.16,39,0
86,2,5,83,3,7,5,1,1,0,1,2,1380961,0,106,1,94,90,1,0,110.48,2906646,1206,1145.08,2.1,4158333,86,254855,20745,458,8.14,1380961,2906646,66.57,5418.61,16.47,21.03,111,1
87,0,5,249,3,2,4,2,0,3,3,4,101013,2,57,2,60,55,0,1,73.71,175469,2781,36.32,1.74,539495,82,4038069,60974,10688,1.51,101013,175469,1.66,25.02,12.32,40.39,361,1
88,4,5,247,6,2,3,0,1,2,1,2,1114113,0,116,2,85,89,1,2,89.75,2114029,4213,264.45,1.9,1576196,91,2828774,282594,21222,9.99,1114113,2114029,3.94,393.85,15.71,20.73,339,0
89,4,2,231,0,4,5,0,0,3,1,0,1314636,0,79,3,91,99,1,0,126.95,2983566,1306,1006.61,2.27,3620398,95,1233065,59803,8934,4.85,1314636,2983566,21.98,1066.15,13.53,46.76,115,1
90,3,5,196,2,6,5,2,3,3,2,2,1458653,0,23,0,94,91,1,0,124.92,3280802,1090,1338.21,2.25,4333167,90,4914926,453156,36343,9.22,1458653,3280802,3.22,296.78,5.2,51.39,316,1
91,0,2,127,7,5,3,2,3,2,4,1,346794,2,17,2,89,87,1,2,130.83,800504,2519,137.67,2.31,2409166,65,3802812,425914,45615,11.2,346794,800504,0.81,91.19,3.48,29.42,487,1
92,5,0,63,1,7,1,2,1,1,3,1,1060758,0,77,1,85,87,1,2,93.77,2055430,768,1381.2,1.94,3611070,94,4437211,210767,30455,4.75,1060758,2055430,5.03,239.06,5.46,57.18,455,1
93,2,0,8,3,3,3,1,1,2,0,4,645037,1,81,3,78,80,2,2,62.75,1049797,1506,428.31,1.63,3403044,71,4833827,282778,8935,5.85,645037,1049797,2.28,133.44,4.4,62.51,388,0
94,1,1,15,7,3,1,2,4,3,1,0,1403375,0,15,2,85,80,1,2,112.0,2975155,2882,486.94,2.12,1050185,77,797871,42686,3846,5.35,1403375,2975155,32.88,1758.9,14.05,54.64,265,1
95,1,4,237,5,7,5,2,0,0,0,1,1384472,0,18,1,96,97,1,0,123.02,3087649,4527,305.83,2.23,4553163,71,2265704,153161,12972,6.76,1384472,3087649,9.04,611.06,6.17,69.72,211,1
96,4,1,296,1,0,3,0,1,1,1,0,361048,2,53,0,70,77,2,2,56.41,564715,4392,82.21,1.56,4910465,78,78435,1921,70,2.45,361048,564715,187.95,4603.15,14.69,51.92,207,0
97,0,2,219,7,2,0,2,2,2,0,2,1084938,0,18,3,99,99,1,0,115.53,2338366,3914,277.19,2.16,3891825,83,2733348,93207,9013,3.41,1084938,2338366,11.64,396.93,9.54,54.87,175,1
98,2,3,197,6,2,3,1,2,2,4,2,292823,2,32,0,70,62,2,2,63.42,478531,2546,115.01,1.63,1203163,97,3546746,245434,41895,6.92,292823,478531,1.19,82.56,4.92,21.15,298,1
99,5,0,109,4,6,5,2,1,1,4,1,75024,3,39,3,63,58,0,1,81.66,136288,2307,32.52,1.82,2551059,71,4510246,89753,4918,1.99,75024,136288,0.84,16.63,11.93,51.55,305,0
100,4,4,248,4,0,0,0,0,2,1,2,274985,2,101,1,64,59,0,1,74.08,478693,2707,101.58,1.74,2779576,81,3168475,243338,24601,7.68,274985,478693,1.13,86.79,13.12,26.61,112,1
101,1,0,185,3,5,5,2,4,1,3,4,1447412,0,107,3,91,91,1,0,87.18,2709265,4476,323.37,1.87,750122,98,3371557,76534,3015,2.27,1447412,2709265,18.91,429.3,14.82,52.52,462,0
102,5,5,225,7,1,0,2,2,2,4,0,893895,1,120,2,94,92,1,0,133.3,2085457,4263,209.69,2.33,2845983,97,1944724,139242,7672,7.16,893895,2085457,6.42,459.65,15.61,59.63,296,1
103,1,5,106,0,1,0,2,3,1,1,4,998370,1,97,1,91,92,1,0,98.52,1981964,639,1562.39,1.99,4990251,66,194721,2141,286,1.1,998370,1981964,466.31,5127.18,6.68,47.68,334,1
104,0,2,98,0,0,1,2,2,0,1,1,1061527,0,87,0,96,96,1,0,114.29,2274746,2675,396.83,2.14,408072,99,133411,11833,1983,8.87,1061527,2274746,89.71,7956.82,15.05,42.06,374,1
105,5,2,165,7,1,3,2,1,2,0,3,590126,1,103,2,77,74,2,2,89.0,1115338,1357,434.88,1.89,4576363,86,3226770,114550,15899,3.55,590126,1115338,5.15,182.88,12.64,20.27,448,1
106,4,5,275,7,4,3,0,0,1,4,4,123078,2,36,1,66,59,0,1,81.78,223731,2362,52.11,1.82,3336676,76,4715621,246155,27692,5.22,123078,223731,0.5,26.1,10.01,35.2,188,1
107,4,1,295,3,1,3,0,1,2,4,0,924955,1,101,0,87,87,1,2,110.91,1950822,2758,335.37,2.11,2251521,68,2966850,302025,8758,10.18,924955,1950822,3.06,311.76,8.06,50.02,301,1
108,4,5,109,3,5,2,0,0,2,4,1,397360,2,25,2,82,74,2,2,112.18,843118,945,420.49,2.12,2831426,69,2571770,202398,24105,7.87,397360,843118,1.96,154.51,10.95,39.26,444,1
109,0,5,76,3,3,2,2,2,0,4,4,166737,2,66,0,75,67,2,2,96.98,328438,4879,34.17,1.97,2687037,86,292899,13590,1034,4.64,166737,328438,12.27,569.26,6.23,48.28,267,1
110,0,0,140,1,4,3,2,3,0,1,3,307462,2,17,1,85,91,1,2,80.38,554599,3458,88.91,1.8,1925421,60,1709951,76776,9543,4.49,307462,554599,4.0,179.81,14.99,48.6,289,1
111,4,2,96,3,6,2,0,2,0,0,3,306205,2,49,0,64,63,0,1,59.91,489652,1423,215.18,1.6,3061710,74,1885830,44317,5575,2.35,306205,489652,6.91,162.37,13.33,52.03,344,1
112,5,4,227,0,0,3,2,0,2,0,0,1339969,0,50,1,97,99,1,0,122.97,2987728,1027,1304.74,2.23,1419570,80,312779,11666,321,3.73,1339969,2987728,114.86,4284.08,14.28,21.98,344,1
113,2,0,97,5,7,2,1,2,0,2,0,115451,2,43,3,81,78,2,2,107.11,239110,1782,64.79,2.07,4879057,98,4350314,417630,39006,9.6,115451,239110,0.28,26.54,14.63,46.52,309,1
114,2,5,274,5,6,4,1,0,2,4,4,1414520,0,77,3,99,99,1,0,114.95,3040510,2956,478.53,2.15,1266601,89,502875,27205,778,5.41,1414520,3040510,51.99,2812.87,15.96,59.59,355,1
115,3,5,123,5,0,0,2,3,3,3,3,253250,2,106,3,60,57,0,1,85.65,470158,2197,115.27,1.86,1900880,63,4783193,107621,17682,2.25,253250,470158,2.35,52.95,8.4,53.78,447,1
116,3,0,257,7,4,3,2,0,1,3,3,290222,2,71,2,67,63,0,1,97.38,572840,4597,63.13,1.97,295431,75,3461543,203538,16120,5.88,290222,572840,1.43,83.84,13.73,44.02,470,1
117,3,4,197,4,4,3,2,2,3,0,0,251374,2,120,2,73,71,2,2,84.41,463558,3089,81.38,1.84,4338119,60,2655500,159330,7536,6.0,251374,463558,1.58,94.66,11.76,62.77,82,0
118,5,2,244,0,6,2,2,1,0,2,0,635951,1,35,0,85,83,1,2,118.35,1388599,3561,178.59,2.18,1820540,82,1789766,85550,4628,4.78,635951,1388599,7.43,355.33,12.82,48.01,354,1
119,4,1,110,6,5,5,0,4,0,2,4,90405,3,46,1,61,63,0,1,84.02,166363,3357,26.93,1.84,4946644,68,2130877,165142,17075,7.75,90405,166363,0.55,42.43,11.15,53.5,368,1
120,5,3,189,3,1,3,2,0,3,0,4,908575,1,21,2,83,75,2,2,99.37,1811425,680,1336.14,1.99,3688424,97,4291193,148475,4662,3.46,908575,1811425,6.12,211.73,12.85,43.59,294,1
121,4,0,130,5,0,5,0,4,0,0,4,551866,1,105,3,87,89,1,2,115.82,1191037,3493,157.99,2.16,2239117,63,1546277,129578,21522,8.38,551866,1191037,4.26,356.9,10.91,29.27,222,1
122,4,1,97,0,6,4,0,3,3,1,0,1321494,0,37,2,95,99,1,0,140.13,3173303,3860,342.36,2.4,4745497,67,378548,15747,2066,4.16,1321494,3173303,83.92,3490.95,5.0,20.44,279,1
123,3,5,142,0,5,5,2,3,0,4,3,301708,2,24,2,78,74,2,2,94.81,587757,3636,82.98,1.95,3599284,95,1030426,11540,1387,1.12,301708,587757,26.14,292.8,10.9,20.85,173,1
124,5,0,230,1,4,3,2,0,2,3,4,1491409,0,93,2,88,84,1,2,99.48,2975062,3629,410.97,1.99,933447,85,2782530,234567,39360,8.43,1491409,2975062,6.36,535.99,8.11,57.78,310,1
125,3,3,21,1,2,4,2,3,1,2,3,1335560,0,89,3,98,98,1,0,87.23,2500568,2813,474.78,1.87,2639210,95,443731,25026,3663,5.64,1335560,2500568,53.37,3009.84,12.13,53.24,37,1
126,5,2,293,1,1,3,2,3,0,4,3,1331526,0,103,3,97,95,1,0,107.01,2756391,1393,955.87,2.07,1528324,98,308807,35049,4156,11.35,1331526,2756391,37.99,4311.84,17.9,58.36,357,1
